seq_id	sample	species	gene	geneLength
ODOLMAEB_01866	MH687964	BAT	hypothetical protein	674
ODOLMAEB_01226	MG742313	BAT	hypothetical protein	3392
ODOLMAEB_00551	JQ989267	BAT	Membrane protein	680
ODOLMAEB_00519	HM211100	BAT	hypothetical protein	596
EBIIEENH_00038	BetaCoV/Munich/BavPat3-ChVir1020/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00038	155
ODOLMAEB_00213	EF065513	BAT	hypothetical protein	239
ODOLMAEB_01418	MH938449	BAT	Replicase polyprotein 1ab	7817
ODOLMAEB_00141	EF065507	BAT	Spike glycoprotein	4034
ODOLMAEB_02061	MK211370	BAT	Spike glycoprotein	4118
ODOLMAEB_00272	EF203065	BAT	hypothetical protein	299
EBIIEENH_01438	BetaCoV/Berlin/MD572014109/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_01438	668
NMICGJMG_00421	hCoV-19/Wuhan/IPBCAMS-WH-02/2019	WUHAN	Protein 7a	365
EBIIEENH_00020	BetaCoV/Munich/BavPat4-ChVir1019/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00020	185
ODOLMAEB_00438	GQ153546	BAT	hypothetical protein	365
ODOLMAEB_01001	KY417146	BAT	Protein 3a	824
EBIIEENH_00064	BetaCoV/Munich/BavPat5-ChVir1248/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00064	155
NMICGJMG_00440	hCoV-19/env/Wuhan/IVDC-HBF13-20/2020	WUHAN	Replicase polyprotein 1a	13217
ODOLMAEB_01683	MH687943	BAT	Membrane protein	686
ODOLMAEB_01140	KY770860	BAT	hypothetical protein	134
EBIIEENH_00870	BetaCoV/Rastede/ChVir2099/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00870	131
ODOLMAEB_02154	KJ473813	BAT	Envelope small membrane protein	230
EBIIEENH_00533	BetaCoV/Lauben/ChVir1980/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00533	365
ODOLMAEB_00816	KP886809	BAT	hypothetical protein	368
ODOLMAEB_01004	KY417146	BAT	hypothetical protein	191
ODOLMAEB_00058	DQ412042	BAT	Envelope small membrane protein	230
EBIIEENH_01165	BetaCoV/Berlin/MD572006599/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01165	185
EBIIEENH_00745	BetaCoV/Berlin/MD572007093/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00745	13217
ODOLMAEB_01291	MG916903	BAT	Corona_FSE	78
EBIIEENH_00221	BetaCoV/Rhein-Kreis-Neuss/ChVir1639/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00221	365
ODOLMAEB_01203	MG596802	BAT	hypothetical protein	311
ODOLMAEB_02086	MK211372	BAT	hypothetical protein	494
ODOLMAEB_01330	MH002338	BAT	Non-structural protein ORF4a	356
EBIIEENH_00128	BetaCoV/Munich/BavPat14-ChVir1483/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_00967	KY417143	BAT	hypothetical protein	365
ODOLMAEB_01052	KY417150	BAT	Spike glycoprotein	3767
NMICGJMG_00582	hCoV-19/Wuhan/IVDC-HB-GX02/2019	WUHAN	Spike glycoprotein	3821
ODOLMAEB_00986	KY417145	BAT	Replicase polyprotein 1ab	7886
ODOLMAEB_01831	MH687960	BAT	Nucleoprotein	1184
ODOLMAEB_02357	KY352407	BAT	Corona_FSE	81
ODOLMAEB_02317	KT253271	BAT	Membrane protein	680
EBIIEENH_01101	BetaCoV/Berlin/572007091/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_01101	668
EBIIEENH_00216	BetaCoV/Rhein-Kreis-Neuss/ChVir1639/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00216	7787
EBIIEENH_00027	BetaCoV/Munich/BavPat3-ChVir1020/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00027	13217
EBIIEENH_01195	BetaCoV/Germany/CSpecVir3185/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_01195	1259
ODOLMAEB_01321	MH002337	BAT	hypothetical protein	683
CGIJCJNJ_00058	MT072864	PANGOLIN	Envelope small membrane protein	227
ODOLMAEB_01440	MK492263	BAT	hypothetical protein	1391
ODOLMAEB_01639	MH687939	BAT	Replicase polyprotein 1a	12320
EBIIEENH_00317	BetaCov/Weitenhagen/ChVir1689/2020	CHAIRITE	s2m	42
EBIIEENH_01289	BetaCoV/Germany/ChVir3201/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_01289	668
EBIIEENH_01314	BetaCoV/Germany/ChVir3203/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_01314	668
EBIIEENH_00266	BetaCoV/Berlin/ChVir1670/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00266	13217
ODOLMAEB_00828	KU182964	BAT	hypothetical protein	158
ODOLMAEB_00885	KX442565	BAT	Envelope small membrane protein	248
ODOLMAEB_02161	KJ473813	BAT	s2m	42
ODOLMAEB_02191	KJ473816	BAT	Envelope small membrane protein	230
ODOLMAEB_01549	MN611523	BAT	Replicase polyprotein 1a	12356
NMICGJMG_00376	hCoV-19/Wuhan/IPBCAMS-WH-05/2020	WUHAN	Corona_FSE	81
ODOLMAEB_02039	MK211379	BAT	Spike glycoprotein	3833
ODOLMAEB_01119	KY770858	BAT	s2m	42
ODOLMAEB_02227	MF094685	BAT	Nucleoprotein	1127
ODOLMAEB_00364	GQ153541	BAT	Replicase polyprotein 1a	13130
NMICGJMG_00546	hCoV-19/Wuhan/HBCDC-HB-04/2020	WUHAN	Membrane protein	668
EBIIEENH_01286	BetaCoV/Germany/ChVir3201/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_01286	7787
ODOLMAEB_00821	KU182964	BAT	Replicase polyprotein 1ab	7940
ODOLMAEB_00637	JX993987	BAT	hypothetical protein	365
ODOLMAEB_01332	MH002338	BAT	hypothetical protein	683
EBIIEENH_00847	BetaCoV/Bremerhaven/ChVir2097/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00847	155
CGIJCJNJ_00069	MT072865.1	PANGOLIN	Replicase polyprotein 1a	1547
ODOLMAEB_01491	MN611517	BAT	Corona_FSE	78
CGIJCJNJ_00065	MT072864	PANGOLIN	s2m	42
EBIIEENH_00219	BetaCoV/Rhein-Kreis-Neuss/ChVir1639/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00219	668
ODOLMAEB_01335	MH002338	BAT	Nucleoprotein	1271
ODOLMAEB_00354	GQ153540	BAT	Spike glycoprotein	3728
EBIIEENH_00532	BetaCoV/Lauben/ChVir1980/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00532	131
ODOLMAEB_00414	GQ153544	BAT	s2m	42
EBIIEENH_01080	BetaCoV/Kiel/CSpecVir3045/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_01080	1259
ODOLMAEB_01904	MG923574	BAT	Spike glycoprotein	4100
ODOLMAEB_00313	EU420138	BAT	Nucleoprotein	1169
ODOLMAEB_02060	MK211370	BAT	Replicase polyprotein 1ab	7829
ODOLMAEB_00407	GQ153544	BAT	Envelope small membrane protein	230
ODOLMAEB_01976	MK211373	BAT	hypothetical protein	446
EBIIEENH_00398	BetaCoV/Berlin/ChVir1919/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00398	7787
EBIIEENH_01149	BetaCoV/Berlin/2011915/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_01149	3821
ODOLMAEB_00977	KY417144	BAT	hypothetical protein	191
EBIIEENH_01239	BetaCoV/Germany/ChVir3194/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_01239	668
ODOLMAEB_01224	MG742313	BAT	Corona_FSE	78
EBIIEENH_01234	BetaCoV/Germany/ChVir3193/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_01234	1259
EBIIEENH_01122	BetaCoV/Bad-Duerkheim-Kreis/2013281/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_01122	8024
ODOLMAEB_01296	MG916903	BAT	hypothetical protein	446
NMICGJMG_00538	hCoV-19/Wuhan/HBCDC-HB-03/2020	WUHAN	Nucleoprotein	1259
ODOLMAEB_01258	MG772934	BAT	Spike glycoprotein	3737
ODOLMAEB_01324	MH002337	BAT	Nucleoprotein	1271
NMICGJMG_00293	hCoV-19/Wuhan/IVDC-HB-05/2019	WUHAN	hypothetical protein	365
EBIIEENH_01425	BetaCoV/Berlin/MD572013107/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_01425	3821
ODOLMAEB_00522	HM211101	BAT	Replicase polyprotein 1ab	12671
NMICGJMG_00362	hCoV-19/Wuhan/HBCDC-HB-01/2019	WUHAN	Replicase polyprotein 1a	13217
ODOLMAEB_00275	EF203066	BAT	Replicase polyprotein 1a	12179
ODOLMAEB_01653	MH687940	BAT	hypothetical protein	674
EBIIEENH_00818	BetaCoV/Rotenburg/ChVir2026/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00818	131
ODOLMAEB_00278	EF203066	BAT	hypothetical protein	3386
EBIIEENH_00685	BetaCoV/Berlin/MD572007047a/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00685	668
NMICGJMG_00036	2019-nCoV_WH03	WUHAN	hypothetical protein	365
ODOLMAEB_00256	EF203064	BAT	hypothetical protein	3386
EBIIEENH_00513	BetaCoV/Berlin/ChVir1970/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00513	4025
ODOLMAEB_02143	KJ473811	BAT	Membrane protein	665
ODOLMAEB_00920	KY073746	BAT	Replicase polyprotein 1a	12344
EBIIEENH_00821	BetaCoV/Rotenburg/ChVir2026/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00821	155
ODOLMAEB_01545	MN611522	BAT	Nucleoprotein	1130
EBIIEENH_00483	BetaCoV/Germany/ChVir1967/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00483	365
ODOLMAEB_00320	EU420139	BAT	hypothetical protein	224
ODOLMAEB_01841	MH687961	BAT	Corona_pk3	62
CGIJCJNJ_00040	MT040336	PANGOLIN	Replicase polyprotein 1a	13193
EBIIEENH_00007	BetaCoV/Munich/BavPat2-ChVir984-ChVir1017/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00007	185
ODOLMAEB_00449	GQ153547	BAT	Protein 7a	368
ODOLMAEB_00231	EF065515	BAT	Corona_FSE	84
EBIIEENH_00941	BetaCoV/Germany/ChVir2114/2020	CHAIRITE	Corona_FSE	81
EBIIEENH_00755	BetaCoV/Berlin/MD572007093/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00755	1259
EBIIEENH_00265	BetaCoV/Rhein-Kreis-Neuss/MD572006610/2020	CHAIRITE	s2m	42
EBIIEENH_01389	BetaCoV/Germany/ChVir3219/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_01389	827
ODOLMAEB_02315	KT253271	BAT	hypothetical protein	4718
EBIIEENH_00102	BetaCoV/Munich/BavPat9-ChVir1433/2020	CHAIRITE	s2m	42
ODOLMAEB_01091	KY770850	BAT	Corona_FSE	78
ODOLMAEB_01692	MH687944	BAT	Membrane protein	686
EBIIEENH_00196	BetaCoV/Duesseldorf/ChVir1601/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00196	131
ODOLMAEB_01299	MG916903	BAT	hypothetical protein	278
EBIIEENH_00631	BetaCoV/Berlin/ChVir2192-200401/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00631	3821
ODOLMAEB_00931	KY073747	BAT	hypothetical protein	680
EBIIEENH_00964	BetaCoV/Germany/ChVir2117/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00964	155
EBIIEENH_01245	BetaCoV/Germany/ChVir3194/2020	CHAIRITE	s2m	42
ODOLMAEB_02084	MK211372	BAT	Membrane protein	686
EBIIEENH_00401	BetaCoV/Berlin/ChVir1919/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00401	668
NMICGJMG_00283	hCoV-19/Wuhan/IVDC-HB-04/2020	WUHAN	s2m	42
ODOLMAEB_01733	MH687949	BAT	hypothetical protein	230
EBIIEENH_01320	BetaCoV/Germany/ChVir3203/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01320	155
ODOLMAEB_00587	JQ989270	BAT	Nucleoprotein	1208
EBIIEENH_00590	BetaCoV/Berlin/ChVir2192/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_01227	MG742313	BAT	hypothetical protein	689
EBIIEENH_00145	BetaCoV/Munich/BavPat15-ChVir1484-ChVir1536/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00145	185
NMICGJMG_00163	GWHACBB01000001	WUHAN	hypothetical protein	131
ODOLMAEB_02124	KJ473812	BAT	Replicase polyprotein 1a	13133
ODOLMAEB_00600	JQ989271	BAT	hypothetical protein	245
ODOLMAEB_00244	EF065516	BAT	Spike glycoprotein	3818
EBIIEENH_00727	BetaCoV/Berlin/MD572007356/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00727	131
NMICGJMG_00194	GWHACDF01000001	WUHAN	Replicase polyprotein 1a	13217
NMICGJMG_00210	GWHACDG01000001	WUHAN	Protein 3a	827
EBIIEENH_00987	BetaCoV/Germany/ChVir2119/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00987	131
ODOLMAEB_00234	EF065515	BAT	hypothetical protein	692
EBIIEENH_00295	BetaCoV/Germany/ChVir1685/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00295	3821
EBIIEENH_01311	BetaCoV/Germany/ChVir3203/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_01311	7787
ODOLMAEB_00236	EF065515	BAT	Membrane protein	662
NMICGJMG_00532	hCoV-19/Wuhan/HBCDC-HB-03/2020	WUHAN	Protein 3a	827
EBIIEENH_00824	BetaCoV/Bremerhaven/ChVir2027/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_02329	KC869678	BAT	Membrane protein	659
NMICGJMG_00301	hCoV-19/Wuhan/IPBCAMS-WH-01/2019	WUHAN	Protein 3a	827
EBIIEENH_01275	BetaCoV/Germany/ChVir3200/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_01275	827
EBIIEENH_00342	BetaCoV/Berlin/ChVir1716/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00342	155
EBIIEENH_00520	BetaCoV/Berlin/ChVir1970/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00520	365
NMICGJMG_00198	GWHACDF01000001	WUHAN	Protein 3a	827
NMICGJMG_00193	GWHACDE01000001	WUHAN	s2m	42
NMICGJMG_00037	2019-nCoV_WH03	WUHAN	Nucleoprotein	1259
EBIIEENH_00966	BetaCoV/Germany/ChVir2118/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00966	13217
ODOLMAEB_01601	MH687935	BAT	Replicase polyprotein 1a	12320
NMICGJMG_00162	GWHACBB01000001	WUHAN	Protein 7a	365
ODOLMAEB_02314	KT253271	BAT	Replicase polyprotein 1ab	7853
ODOLMAEB_00621	JQ989273	BAT	hypothetical protein	224
EBIIEENH_00726	BetaCoV/Berlin/MD572007356/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00726	365
EBIIEENH_00527	BetaCoV/Lauben/ChVir1980/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00527	3821
ODOLMAEB_00534	JQ989266	BAT	Replicase polyprotein 1a	12347
EBIIEENH_00912	BetaCoV/Germany/ChVir2105/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00912	155
EBIIEENH_00273	BetaCoV/Berlin/ChVir1670/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00273	365
CGIJCJNJ_00031	MT040335	PANGOLIN	Envelope small membrane protein	227
ODOLMAEB_01955	KJ473808	BAT	Corona_pk3	62
EBIIEENH_00174	BetaCoV/Karlsruhe/ChVir1600/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00174	1259
ODOLMAEB_00729	KJ473797	BAT	Corona_FSE	78
EBIIEENH_00208	BetaCoV/Heidelberg/ChVir1611/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00208	365
NMICGJMG_00556	hCoV-19/Wuhan/HBCDC-HB-05/2020	WUHAN	Replicase polyprotein 1ab	7787
ODOLMAEB_02305	KT253269	BAT	Spike glycoprotein	4091
ODOLMAEB_01481	MN065811	BAT	Corona_FSE	78
EBIIEENH_01148	BetaCoV/Berlin/2011915/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_01148	7787
ODOLMAEB_00391	GQ153543	BAT	Corona_FSE	81
ODOLMAEB_00614	JQ989272	BAT	Corona_pk3	62
ODOLMAEB_00029	DQ084199	BAT	Replicase polyprotein 1ab	7886
ODOLMAEB_01588	NC_009657	BAT	Nucleoprotein	1184
ODOLMAEB_00617	JQ989273	BAT	Corona_FSE	78
ODOLMAEB_00563	JQ989268	BAT	Nucleoprotein	1199
ODOLMAEB_00362	GQ153540	BAT	Nucleoprotein	1265
EBIIEENH_00641	BetaCoV/Germany/MD572006691/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00641	13217
EBIIEENH_00458	BetaCoV/Berlin/ChVir1963/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00458	365
EBIIEENH_01397	BetaCoV/Germany/ChVir3219/2020	CHAIRITE	s2m	42
EBIIEENH_00969	BetaCoV/Germany/ChVir2118/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00969	3821
ODOLMAEB_01657	MH687940	BAT	hypothetical protein	494
EBIIEENH_00256	BetaCoV/Rhein-Kreis-Neuss/MD572006610/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00256	3821
ODOLMAEB_00210	EF065513	BAT	Replicase polyprotein 1ab	7766
ODOLMAEB_02041	MK211379	BAT	Membrane protein	668
EBIIEENH_01129	BetaCoV/Bad-Duerkheim-Kreis/2013281/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01129	365
NMICGJMG_00148	GWHACBA01000001	WUHAN	hypothetical protein	185
EBIIEENH_01226	BetaCoV/Germany/ChVir3193/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_01226	1124
ODOLMAEB_02209	MF094688	BAT	Replicase polyprotein 1a	12182
ODOLMAEB_01346	MH002339	BAT	Nucleoprotein	1271
EBIIEENH_00750	BetaCoV/Berlin/MD572007093/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00750	668
EBIIEENH_00725	BetaCoV/Berlin/MD572007356/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00725	185
ODOLMAEB_01575	MN611525	BAT	Membrane protein	680
NMICGJMG_00221	GWHACDH01000001	WUHAN	Replicase polyprotein 1ab	7787
ODOLMAEB_00110	DQ648857	BAT	hypothetical protein	191
ODOLMAEB_02133	KJ473812	BAT	hypothetical protein	134
ODOLMAEB_00359	GQ153540	BAT	Protein 7a	368
ODOLMAEB_01804	MH687957	BAT	hypothetical protein	491
EBIIEENH_00147	BetaCoV/Munich/BavPat15-ChVir1484-ChVir1536/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00147	131
EBIIEENH_01369	BetaCoV/Germany/ChVir3215/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_01369	1259
ODOLMAEB_01500	MN611518	BAT	Spike glycoprotein	4124
ODOLMAEB_00262	EF203064	BAT	Corona_pk3	62
NMICGJMG_00303	hCoV-19/Wuhan/IPBCAMS-WH-01/2019	WUHAN	hypothetical protein	185
ODOLMAEB_00337	FJ588686	BAT	s2m	42
ODOLMAEB_01277	MG916901	BAT	Corona_pk3	62
EBIIEENH_00428	BetaCoV/Berlin/ChVir1959/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00428	185
ODOLMAEB_01808	MH687958	BAT	Replicase polyprotein 1ab	7820
EBIIEENH_00489	BetaCoV/Berlin/ChVir1968/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00489	7787
ODOLMAEB_01412	MH938448	BAT	Nucleoprotein	1304
ODOLMAEB_02362	KY352407	BAT	hypothetical protein	191
EBIIEENH_00442	BetaCoV/Berlin/ChVir1960/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00442	365
ODOLMAEB_01780	MH687955	BAT	Spike glycoprotein	4094
NMICGJMG_00189	GWHACDE01000001	WUHAN	hypothetical protein	131
ODOLMAEB_01543	MN611522	BAT	hypothetical protein	227
ODOLMAEB_01694	MH687944	BAT	hypothetical protein	491
ODOLMAEB_01929	KJ473810	BAT	Replicase polyprotein 1a	12230
EBIIEENH_00380	BetaCov/Koblenz/ChVir1906/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00380	1259
ODOLMAEB_01609	MH687936	BAT	Replicase polyprotein 1a	12320
ODOLMAEB_01744	MH687950	BAT	Nucleoprotein	1184
ODOLMAEB_01078	KY417152	BAT	Corona_FSE	81
EBIIEENH_01301	BetaCoV/Germany/ChVir3202/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_01301	827
ODOLMAEB_01185	MF167434	BAT	Nucleoprotein	1127
EBIIEENH_00905	BetaCoV/Germany/ChVir2105/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00905	827
ODOLMAEB_01773	MH687954	BAT	Membrane protein	686
ODOLMAEB_00718	KJ473796	BAT	Coronavirus_5p_sl_1_2	67
ODOLMAEB_01832	MH687960	BAT	Corona_pk3	62
ODOLMAEB_00310	EU420138	BAT	hypothetical protein	659
ODOLMAEB_01466	MK720945	BAT	Corona_pk3	62
ODOLMAEB_01149	KY799179	BAT	hypothetical protein	224
ODOLMAEB_00858	KU973692	BAT	Envelope small membrane protein	230
ODOLMAEB_00836	KU182965	BAT	Non-structural protein ORF4a	359
ODOLMAEB_02118	KT444582	BAT	hypothetical protein	293
EBIIEENH_00486	BetaCoV/Germany/ChVir1967/2020	CHAIRITE	s2m	42
EBIIEENH_01127	BetaCoV/Bad-Duerkheim-Kreis/2013281/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_01127	668
EBIIEENH_01066	BetaCoV/Neumuenster/ChVir3042/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01066	365
NMICGJMG_00049	GWHABKZ01000001	WUHAN	hypothetical protein	365
EBIIEENH_01303	BetaCoV/Germany/ChVir3202/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01303	185
ODOLMAEB_02281	KT253272	BAT	Coronavirus_5p_sl_1_2	69
ODOLMAEB_01995	MK211376	BAT	Replicase polyprotein 1a	13148
ODOLMAEB_01765	MH687953	BAT	Corona_FSE	78
ODOLMAEB_02347	KF569996	BAT	Spike glycoprotein	3779
ODOLMAEB_00757	KJ473799	BAT	Nucleoprotein	1268
ODOLMAEB_02083	MK211372	BAT	hypothetical protein	230
ODOLMAEB_01623	MH687937	BAT	hypothetical protein	230
EBIIEENH_01288	BetaCoV/Germany/ChVir3201/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_01288	827
ODOLMAEB_01566	MN611524	BAT	Membrane protein	767
EBIIEENH_00419	BetaCoV/Rhein-Neckar-Kreis/ChVir1946/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00419	1259
NMICGJMG_00107	GWHACAX01000001	WUHAN	Replicase polyprotein 1ab	7787
EBIIEENH_01178	BetaCoV/Germany/ChVir3184/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01178	185
ODOLMAEB_01009	KY417146	BAT	s2m	42
EBIIEENH_00355	BetaCoV/Berlin/ChVir1897/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00355	155
NMICGJMG_00104	GWHACAW01000001	WUHAN	s2m	42
ODOLMAEB_02107	MF593268	BAT	Membrane protein	659
EBIIEENH_01495	EPI_ISL_406862|Europe-Germany-Bavaria-Munich|2020-01-28	CHAIRITE	s2m	42
EBIIEENH_00946	BetaCoV/Germany/ChVir2114/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00946	185
ODOLMAEB_01628	MH687938	BAT	Replicase polyprotein 1a	12386
ODOLMAEB_00925	KY073746	BAT	Membrane protein	683
NMICGJMG_00504	hCoV-19/Wuhan/HBCDC-HB-04/2019	WUHAN	Replicase polyprotein 1ab	7787
EBIIEENH_01335	BetaCoV/Germany/ChVir3211/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_01335	13217
NMICGJMG_00537	hCoV-19/Wuhan/HBCDC-HB-03/2020	WUHAN	hypothetical protein	365
ODOLMAEB_00397	GQ153543	BAT	hypothetical protein	191
NMICGJMG_00137	GWHACAZ01000001	WUHAN	Protein 7a	365
NMICGJMG_00423	hCoV-19/Wuhan/IPBCAMS-WH-02/2019	WUHAN	hypothetical protein	365
ODOLMAEB_01444	MK492263	BAT	Corona_pk3	58
ODOLMAEB_02035	MK211378	BAT	s2m	42
ODOLMAEB_00879	KX442565	BAT	Replicase polyprotein 1ab	7871
EBIIEENH_00967	BetaCoV/Germany/ChVir2118/2020	CHAIRITE	Corona_FSE	81
CGIJCJNJ_00004	MT040333	PANGOLIN	Spike glycoprotein	3803
EBIIEENH_01142	BetaCoV/Germany/2012320/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01142	365
EBIIEENH_00875	BetaCoV/Bremerhaven/ChVir2101/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00875	13217
ODOLMAEB_01578	MN611525	BAT	hypothetical protein	434
ODOLMAEB_01442	MK492263	BAT	hypothetical protein	593
NMICGJMG_00258	hCoV-19/Wuhan/IVDC-HB-01/2019	WUHAN	Replicase polyprotein 1a	13217
ODOLMAEB_01690	MH687944	BAT	Spike glycoprotein	4094
ODOLMAEB_01295	MG916903	BAT	hypothetical protein	326
EBIIEENH_00697	BetaCoV/Berlin/MD572007047/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00697	827
